status,split,current_domain,category,target_capability,mapping_reason,source,source_split,record_id,template_id,hard_reject_reasons,provenance_warnings,prompt,response
clean_candidate,train,evidence_uncertainty,pa_grounded_evidence,evidence_grounding,category_map,nueronce-prompt-aligned-v1,train,pa-03291,11fae9301dbb42d8e7682ce4e1888fb50954d9aa7f108c540458cd6e3a9291d2,,,"What does the North Library allow after 17:00 for cohort 215?

Trusted evidence:
[decisive:library] The North Library allows quiet study after 17:00 for cohort 215.
[distractor:0] The west elevator is under inspection.
[distractor:1] The river path is closed after storms.
[distractor:2] The cafe serves soup at noon.

Response requirements:
Use decisive evidence only.",The North Library allows quiet study after 17:00 for cohort 215.
candidate_with_provenance,train,mathematics,classification,logic_reasoning,category_map,nueronce-synthetic-template-v1,train,prime-13979,f4c7011ef3879a4bd0779279837dd311f5d04e5f6a577f2e624e1e5fba712a74,,synthetic_template_source,Is 3479 a prime number?,3479 is not a prime number.
candidate_with_provenance,train,causal_temporal,logic,logic_reasoning,category_map,nueronce-synthetic-template-v1,train,cmp2-3595,1404db8d9a28900f2a5903193fc35733ab96f1453334be63f995e4bb0c35c4d3,,synthetic_template_source,Is 174 greater than 143?,"Yes, 174 is greater than 143."
candidate_with_provenance,train,code_debugging,coding,code_fundamentals,coding_concept_or_definition,nueronce-synthetic-template-v1,train,code-eval-30,b1ffe2544092a0c744a8761046df94702bf0932012a085c78c5e4a9521e8c730,,synthetic_template_source,What does the following code print? print(3 + 2),It prints 5.
candidate_with_provenance,train,mathematics,arithmetic,mathematics,category_map,nueronce-synthetic-template-v1,train,div-80622,58dbf256aca097195ceb15e0d70a01a68edb26ca6d191a134548c7b7b066e8bb,,synthetic_template_source,What is 418 divided by 19?,418 divided by 19 equals 22.
candidate_with_provenance,train,causal_temporal,logic,logic_reasoning,category_map,nueronce-synthetic-template-v1,train,cmp2-2140,1404db8d9a28900f2a5903193fc35733ab96f1453334be63f995e4bb0c35c4d3,,synthetic_template_source,Is 102 greater than 66?,"Yes, 102 is greater than 66."
candidate_with_provenance,train,mathematics,arithmetic,mathematics,category_map,nueronce-synthetic-template-v1,train,add-426,b9d16a65d040ae015547826f9e3106cbfbbecf5e71ef03940e6d37f6da89e5f9,,synthetic_template_source,What is 14 plus 80?,14 plus 80 equals 94.
candidate_with_provenance,train,conversation,instruction_following,instruction_following,category_map,nueronce-synthetic-template-v1,train,instr-count-919,9bbe963c223938fca27b936062e056de70d5e6dd2f547482228e2e86158e4d01,,synthetic_template_source,How many letters are in the word pilot?,The word pilot has 5 letters.
candidate_with_provenance,train,causal_temporal,logic,logic_reasoning,category_map,nueronce-synthetic-template-v1,train,cmp0-2465,fb2ff4b1262686dc677d29b16d3d380048b7f3a7e2bf0f08373a54a9e0dba475,,synthetic_template_source,"Which is bigger, 117 or 165?",165 is bigger.
candidate_with_provenance,train,mathematics,arithmetic,mathematics,category_map,nueronce-synthetic-template-v1,train,mul-53160,ffe005dd8a129533418c2b40c07e100802351bfa55e9f80c614616cf82f7b539,,synthetic_template_source,What is 35 times 15?,35 times 15 equals 525.
candidate_with_provenance,train,causal_temporal,logic,logic_reasoning,category_map,nueronce-synthetic-template-v1,test,cmp0-602,fb2ff4b1262686dc677d29b16d3d380048b7f3a7e2bf0f08373a54a9e0dba475,,synthetic_template_source|resplit_from_original_source,"Which is bigger, 24 or 121?",121 is bigger.
clean_candidate,train,evidence_uncertainty,pa_grounded_evidence,evidence_grounding,category_map,nueronce-prompt-aligned-v1,train,pa-03250,d2d6782fb726f4f11d8cd85c3eae7ab832670800c34d1343cb66d373b204d39b,,,"Where does Policy I-208 permit bicycle parking?

Trusted evidence:
[decisive:policy] Policy I-208 permits bicycle parking only in marked racks.
[distractor:0] The river path is closed after storms.
[distractor:1] The cafe serves soup at noon.

Response requirements:
Use decisive evidence only.",Policy I-208 permits bicycle parking only in marked racks.
candidate_with_provenance,train,mathematics,arithmetic,mathematics,category_map,nueronce-synthetic-template-v1,train,sub-38838,d60f1212956c58da4c9e917b6e1a7c5bf685852447dcd5eb218e2c0af508fdf2,,synthetic_template_source,Subtract 32 from 182.,182 minus 32 equals 150.
candidate_with_provenance,train,causal_temporal,logic,logic_reasoning,category_map,nueronce-synthetic-template-v1,train,cmp1-168,db3e2035162195a80a883c6bc3534263d6250af8148419f144ac15222b0037de,,synthetic_template_source,Which number is larger: 3 or 66?,66 is larger than 3.
candidate_with_provenance,train,evidence_uncertainty,pa_grounded_evidence,evidence_grounding,category_map,nueronce-prompt-aligned-v1,test,pa-02274,8c90f25810d55594b0236961fd6678908c7e475a0446337ff5d2bde36cb614fe,,resplit_from_original_source,"What protection does Lab Vega-45 require?

Trusted evidence:
[decisive:lab] Lab Vega-45 requires eye protection during chemical handling.
[distractor:0] The west elevator is under inspection.
[distractor:1] The river path is closed after storms.

Response requirements:
Use decisive evidence only.",Lab Vega-45 requires eye protection during chemical handling.
candidate_with_provenance,train,causal_temporal,logic,logic_reasoning,category_map,nueronce-synthetic-template-v1,train,cmp0-926,fb2ff4b1262686dc677d29b16d3d380048b7f3a7e2bf0f08373a54a9e0dba475,,synthetic_template_source,"Which is bigger, 42 or 0?",42 is bigger.
clean_candidate,train,evidence_uncertainty,pa_grounded_evidence,evidence_grounding,category_map,nueronce-prompt-aligned-v1,train,pa-02996,f3c3fcf18c8820ab518d7b7b9d03f79578abbc1840d7bde65b8e0280f8f4ad06,,,"When does Dock Seven close on weekdays during schedule 166?

Trusted evidence:
[decisive:harbor] Dock Seven closes at 20:00 on weekdays during schedule 166.

Response requirements:
Use decisive evidence only.",Dock Seven closes at 20:00 on weekdays during schedule 166.
candidate_with_provenance,train,mathematics,arithmetic,mathematics,category_map,nueronce-synthetic-template-v1,train,add-25164,c860421afc24628a8c815ac34a4fdbf9108f80078f260f9372e5850a5f08b78e,,synthetic_template_source,What do you get if you add 176 to 200?,176 plus 200 equals 376.
clean_candidate,train,evidence_uncertainty,pa_grounded_evidence,evidence_grounding,category_map,nueronce-prompt-aligned-v1,train,pa-02012,f3c3fcf18c8820ab518d7b7b9d03f79578abbc1840d7bde65b8e0280f8f4ad06,,,"When does Dock Seven close on weekdays during schedule 2?

Trusted evidence:
[decisive:harbor] Dock Seven closes at 20:00 on weekdays during schedule 2.

Response requirements:
Use decisive evidence only.",Dock Seven closes at 20:00 on weekdays during schedule 2.
candidate_with_provenance,train,mathematics,arithmetic,mathematics,category_map,nueronce-synthetic-template-v1,test,mul-61224,39d565975253bc2c08107cd0194b072e5b07e2983c87e8dabfa7186ffccdfe7a,,synthetic_template_source|resplit_from_original_source,Multiply 45 by 4.,45 times 4 equals 180.
candidate_with_provenance,train,mathematics,arithmetic,mathematics,category_map,nueronce-synthetic-template-v1,train,mul-59766,39d565975253bc2c08107cd0194b072e5b07e2983c87e8dabfa7186ffccdfe7a,,synthetic_template_source,Multiply 27 by 76.,27 times 76 equals 2052.
candidate_with_provenance,train,mathematics,classification,logic_reasoning,category_map,nueronce-synthetic-template-v1,train,evenodd-3667,2162e16ae9ac5b7e6d2c47f96037043c2988e3e7607764016d534bb59719441d,,synthetic_template_source,Classify 167 as even or odd.,167 is odd.
candidate_with_provenance,train,mathematics,arithmetic,mathematics,category_map,nueronce-synthetic-template-v1,train,sub-49764,9ec0ea74417149826b4e2908fd549de1dcedf893338d0cc6b05882365c3f008f,,synthetic_template_source,What do you get if you take 168 away from 214?,214 minus 168 equals 46.
