split,domain,category,source,record_id,template_id,flags,prompt,response
train,mathematics,classification,nueronce-synthetic-template-v1,prime-13979,f4c7011ef3879a4bd0779279837dd311f5d04e5f6a577f2e624e1e5fba712a74,synthetic_template_source,Is 3479 a prime number?,3479 is not a prime number.
train,causal_temporal,logic,nueronce-synthetic-template-v1,cmp2-3595,1404db8d9a28900f2a5903193fc35733ab96f1453334be63f995e4bb0c35c4d3,synthetic_template_source,Is 174 greater than 143?,"Yes, 174 is greater than 143."
train,code_debugging,coding,nueronce-synthetic-template-v1,code-eval-30,b1ffe2544092a0c744a8761046df94702bf0932012a085c78c5e4a9521e8c730,synthetic_template_source,What does the following code print? print(3 + 2),It prints 5.
train,mathematics,arithmetic,nueronce-synthetic-template-v1,div-80622,58dbf256aca097195ceb15e0d70a01a68edb26ca6d191a134548c7b7b066e8bb,synthetic_template_source,What is 418 divided by 19?,418 divided by 19 equals 22.
train,causal_temporal,logic,nueronce-synthetic-template-v1,cmp2-2140,1404db8d9a28900f2a5903193fc35733ab96f1453334be63f995e4bb0c35c4d3,synthetic_template_source,Is 102 greater than 66?,"Yes, 102 is greater than 66."
train,mathematics,arithmetic,nueronce-synthetic-template-v1,add-426,b9d16a65d040ae015547826f9e3106cbfbbecf5e71ef03940e6d37f6da89e5f9,synthetic_template_source,What is 14 plus 80?,14 plus 80 equals 94.
train,conversation,instruction_following,nueronce-synthetic-template-v1,instr-count-919,9bbe963c223938fca27b936062e056de70d5e6dd2f547482228e2e86158e4d01,synthetic_template_source,How many letters are in the word pilot?,The word pilot has 5 letters.
train,causal_temporal,logic,nueronce-synthetic-template-v1,cmp0-2465,fb2ff4b1262686dc677d29b16d3d380048b7f3a7e2bf0f08373a54a9e0dba475,synthetic_template_source,"Which is bigger, 117 or 165?",165 is bigger.
train,mathematics,arithmetic,nueronce-synthetic-template-v1,mul-53160,ffe005dd8a129533418c2b40c07e100802351bfa55e9f80c614616cf82f7b539,synthetic_template_source,What is 35 times 15?,35 times 15 equals 525.
train,causal_temporal,logic,nueronce-synthetic-template-v1,cmp0-602,fb2ff4b1262686dc677d29b16d3d380048b7f3a7e2bf0f08373a54a9e0dba475,synthetic_template_source|resplit_from_original_source,"Which is bigger, 24 or 121?",121 is bigger.
train,mathematics,arithmetic,nueronce-synthetic-template-v1,sub-38838,d60f1212956c58da4c9e917b6e1a7c5bf685852447dcd5eb218e2c0af508fdf2,synthetic_template_source,Subtract 32 from 182.,182 minus 32 equals 150.
train,causal_temporal,logic,nueronce-synthetic-template-v1,cmp1-168,db3e2035162195a80a883c6bc3534263d6250af8148419f144ac15222b0037de,synthetic_template_source,Which number is larger: 3 or 66?,66 is larger than 3.
train,evidence_uncertainty,pa_grounded_evidence,nueronce-prompt-aligned-v1,pa-02274,8c90f25810d55594b0236961fd6678908c7e475a0446337ff5d2bde36cb614fe,resplit_from_original_source,"What protection does Lab Vega-45 require?

Trusted evidence:
[decisive:lab] Lab Vega-45 requires eye protection during chemical handling.
[distractor:0] The west elevator is under inspection.
[distractor:1] The river path is closed after storms.

Response requirements:
Use decisive evidence only.",Lab Vega-45 requires eye protection during chemical handling.
train,causal_temporal,logic,nueronce-synthetic-template-v1,cmp0-926,fb2ff4b1262686dc677d29b16d3d380048b7f3a7e2bf0f08373a54a9e0dba475,synthetic_template_source,"Which is bigger, 42 or 0?",42 is bigger.
train,mathematics,arithmetic,nueronce-synthetic-template-v1,add-25164,c860421afc24628a8c815ac34a4fdbf9108f80078f260f9372e5850a5f08b78e,synthetic_template_source,What do you get if you add 176 to 200?,176 plus 200 equals 376.
train,mathematics,arithmetic,nueronce-synthetic-template-v1,mul-61224,39d565975253bc2c08107cd0194b072e5b07e2983c87e8dabfa7186ffccdfe7a,synthetic_template_source|resplit_from_original_source,Multiply 45 by 4.,45 times 4 equals 180.
train,mathematics,arithmetic,nueronce-synthetic-template-v1,mul-59766,39d565975253bc2c08107cd0194b072e5b07e2983c87e8dabfa7186ffccdfe7a,synthetic_template_source,Multiply 27 by 76.,27 times 76 equals 2052.
train,mathematics,classification,nueronce-synthetic-template-v1,evenodd-3667,2162e16ae9ac5b7e6d2c47f96037043c2988e3e7607764016d534bb59719441d,synthetic_template_source,Classify 167 as even or odd.,167 is odd.
train,mathematics,arithmetic,nueronce-synthetic-template-v1,sub-49764,9ec0ea74417149826b4e2908fd549de1dcedf893338d0cc6b05882365c3f008f,synthetic_template_source,What do you get if you take 168 away from 214?,214 minus 168 equals 46.
train,causal_temporal,logic,nueronce-synthetic-template-v1,cmp2-460,1404db8d9a28900f2a5903193fc35733ab96f1453334be63f995e4bb0c35c4d3,synthetic_template_source|resplit_from_original_source,Is 18 greater than 33?,"No, 18 is not greater than 33."
train,mathematics,classification,nueronce-synthetic-template-v1,prime-12155,f4c7011ef3879a4bd0779279837dd311f5d04e5f6a577f2e624e1e5fba712a74,synthetic_template_source,Is 1655 a prime number?,1655 is not a prime number.
train,mathematics,arithmetic,nueronce-synthetic-template-v1,add-29628,ea043130a76fc175a8623820e275b7ed3a5d4b9040c78bdb75482471c34145fc,synthetic_template_source,Sum 100 and 192.,100 plus 192 equals 292.
train,conversation,facts,nueronce-synthetic-template-v1,capital-375,1ff50214c07c00edcb664e0892f3b1c4db773162fe6d5ba2465671eb1e9f264e,synthetic_template_source,Name the capital city of Jamaica.,The capital of Jamaica is Kingston.
train,planning_tools,instruction_following,nueronce-synthetic-template-v1,instr-first-549,1e770a855721d0cc339b43b6236f3f53b60d104596197d31870b8f60196b29d2,synthetic_template_source,What is the first letter of the word eggplant?,The first letter of eggplant is E.
train,causal_temporal,logic,nueronce-synthetic-template-v1,cmp1-4002,db3e2035162195a80a883c6bc3534263d6250af8148419f144ac15222b0037de,synthetic_template_source|resplit_from_original_source,Which number is larger: 195 or 99?,195 is larger than 99.
train,mathematics,arithmetic,nueronce-synthetic-template-v1,mul-65586,989066dfbcf3fbdf8f422b03f4cf0de60abfb1e95b928060af461c5c142f47df,synthetic_template_source,Calculate 11 * 31.,11 times 31 equals 341.
train,factual_explanation,definitions,nueronce-synthetic-template-v1,def-147,ba8be9c3d1d80f34515b9e19fd8312800bdb0775dd9b05a4f9e387415dcae109,synthetic_template_source,What is the meaning of the word reliable?,Reliable means consistently good in quality and able to be trusted.
train,factual_explanation,definitions,nueronce-synthetic-template-v1,def-216,413ae4b0b5e3344b871b7062934bcf9b4bfcceac7adc26bdac9002fdf39c3b46,synthetic_template_source,What does adamant mean?,Adamant means refusing to change one's mind or position.
train,causal_temporal,logic,nueronce-synthetic-template-v1,cmp1-1662,db3e2035162195a80a883c6bc3534263d6250af8148419f144ac15222b0037de,synthetic_template_source,Which number is larger: 78 or 66?,78 is larger than 66.
train,mathematics,arithmetic,nueronce-synthetic-template-v1,div-89376,e986634e5f3d55293a5e1af056a8e29e471b190ec5aa193c66b1d89ab1ce71fa,synthetic_template_source,Calculate 168 / 8.,168 divided by 8 equals 21.
train,conversation,summarization,nueronce-synthetic-template-v1,summary-14,f67fc626ed3301660b3013311336647372ed76d6c6724d54c28e08a6749250d2,synthetic_template_source,Summarize this text: The museum added a new exhibit about ancient civilizations. Visitors can see artifacts and read about daily life long ago.,The museum's new exhibit covers ancient civilizations and daily life.
train,mathematics,classification,nueronce-synthetic-template-v1,evenodd-4399,2162e16ae9ac5b7e6d2c47f96037043c2988e3e7607764016d534bb59719441d,synthetic_template_source,Classify 899 as even or odd.,899 is odd.
train,causal_temporal,logic,nueronce-synthetic-template-v1,cmp0-1205,fb2ff4b1262686dc677d29b16d3d380048b7f3a7e2bf0f08373a54a9e0dba475,synthetic_template_source,"Which is bigger, 54 or 143?",143 is bigger.
train,mathematics,arithmetic,nueronce-synthetic-template-v1,sub-43254,1f6319acd4ff533fa4ca7dab803ecbd2e1f220cd03b2ab92d6be037122d3d54e,synthetic_template_source,Calculate 222 - 160.,222 minus 160 equals 62.
train,mathematics,classification,nueronce-synthetic-template-v1,evenodd-4536,2162e16ae9ac5b7e6d2c47f96037043c2988e3e7607764016d534bb59719441d,synthetic_template_source,Classify 1036 as even or odd.,1036 is even.
train,mathematics,arithmetic,nueronce-synthetic-template-v1,sub-35016,c55a61c69df8721e33631b2af276aa80c903d9042b751a1885c2036e7c5cd693,synthetic_template_source,What is 160 minus 104?,160 minus 104 equals 56.
train,factual_explanation,instruction_following,nueronce-synthetic-template-v1,instr-first-507,733fd4f30f49b60710c632a2f618ee6fea433d6d8b7e0b56345d5aa27dbb70a3,synthetic_template_source,What is the first letter of the word noodle?,The first letter of noodle is N.
train,mathematics,classification,nueronce-synthetic-template-v1,prime-10891,f4c7011ef3879a4bd0779279837dd311f5d04e5f6a577f2e624e1e5fba712a74,synthetic_template_source,Is 391 a prime number?,391 is not a prime number.
train,causal_temporal,logic,nueronce-synthetic-template-v1,cmp0-1109,fb2ff4b1262686dc677d29b16d3d380048b7f3a7e2bf0f08373a54a9e0dba475,synthetic_template_source,"Which is bigger, 51 or 11?",51 is bigger.
train,mathematics,arithmetic,nueronce-synthetic-template-v1,mul-61638,39d565975253bc2c08107cd0194b072e5b07e2983c87e8dabfa7186ffccdfe7a,synthetic_template_source|resplit_from_original_source,Multiply 49 by 78.,49 times 78 equals 3822.
train,mathematics,arithmetic,nueronce-synthetic-template-v1,mul-74310,4e25418ff2498fc07d9274a9e78784802c2607186c65e8a0d453cc70dc33310b,synthetic_template_source,What is the product of 29 and 0?,29 times 0 equals 0.
train,causal_temporal,logic,nueronce-synthetic-template-v1,cmp2-2635,1404db8d9a28900f2a5903193fc35733ab96f1453334be63f995e4bb0c35c4d3,synthetic_template_source,Is 126 greater than 121?,"Yes, 126 is greater than 121."
train,mathematics,arithmetic,nueronce-synthetic-template-v1,add-10242,aa612651fca51858ba8d0ba0cc9f1828efc5a05940a9eed6d19181398cb439aa,synthetic_template_source,Add 122 and 136.,122 plus 136 equals 258.
train,mathematics,arithmetic,nueronce-synthetic-template-v1,add-10326,aa612651fca51858ba8d0ba0cc9f1828efc5a05940a9eed6d19181398cb439aa,synthetic_template_source|resplit_from_original_source,Add 126 and 8.,126 plus 8 equals 134.
